product
virgin olive oil (up to 2°)
feed maize - maïs fourrager
raw milk
piglet
extra virgin olive oil (up to 0,8°)
gouda - gouda
pig carcases 55% or more but less than 60% meat
χοιρινα εξωτερικού τ. καρρέ μισάδια
barley - malting barley deliver to first customer - silo or processing plant - on truck or other transport means
refined olive-pomace oil (up to 0.3°)
cauliflowers - choux fleurs, cat. i, cal gros
ανιθος δεμ. μικρα
μοσχάρια εγχώρια 4/μορια
barley - feed barley deliver to first customer - silo or processing plant - on truck or other transport means
maize - maize shipped to the place (port), unloaded, on truck leaving port
αχλάδια κρυστάλια
φραουλες
peppers - poivrons, carré vert, cat. i - cal. 70+
apples - pommes, gala, cat. i - cal. 70-80
μπαμιες
feed barley - orge fourragère
breadmaking common wheat - blé tendre panifiable
refined olive oil (up to 0,3°)
broiler - poulet, 65%
asparagus - asperges, blanches/violettes, cat i - cal. 16+
μοσχάρια εξωτερικού
raw milk - lait cru
whole milk powder - lait entier en poudre
cucumbers - concombres, type lisse, cat. i, cal 350-500
smp
ραδίκια αγρια καλλιεργουμενα
strawberries - fraises - cat. i
crude olive-pomace oil (from 5 to 10°)
λεμόνια εισαγωγης
lampante olive oil (2°)
σπανάκι
apricots - abricots, cat. i - cal. 45-50
whey powder - lactosérum en poudre
soft wheat - milling wheat deliver to first customer - silo or processing plant - on truck or other transport means
σέλινο
emmental
carrots - carrottes, cat. i
χοιρινά εγχώρια μαδητά μισάδια
πιπερίες μακριές γλυκές
butteroil - huile de beurre
αχλάδια αμπατε φετελ ιταλιας
μαρούλια το κομμάτι
mandarins - mandarines, cat. i - cal. 1x-2
tomatoes – tomates  grappes (= vine/in trusses tomatoes), cat. i
plums - prunes, européennes, cat. i - cal . 35+
καστανα
apples - pommes, idared, cat. i - cal. 70-80
apples - pommes, granny smith, cat. i - cal. 70-80
skimmed milk powder, intervention quality - lait écrémé en poudre
apples - pommes, boskoop, cat. i - cal. 70-80
μαϊδανός δεμ. μικρα
whey powder
malting barley - orge brassicole
apples - pommes, jonagold (or jonagored), cat. i - cal. 70-80
αγγούρια (το ζευγάρι)
soft wheat - feed wheat departure from silo - after some storage - on truck or other transport means
gouda
maize - maize departure from silo - after some storage - on truck or other transport means
blé dur - durum wheat
olive oil extra virgin - huile d'olive extra-vierge, <0.8%
αρνιά γαλακτος
μηλα τζονα γκολντ εισαγωγης
pig carcases with 60% or more meat
soft wheat - milling wheat departure from farm or from production area - on truck or other transport means
edam
apples - pommes, elstar, cat. i - cal. 70-80
apples - pommes, golden delicious, cat. i - cal. 70-80
πιπεριές χονδρές
πορτοκαλια βαλέντσια
τομάτες εισαγωγης
barley - feed barley delivered to a port silo, by train or truck or barge - grain exchange quotation
butter
mushrooms - champignons, cultivated, fermés, cat. i, cal. moyen
butter - beurre
wmp
πεπόνια γκάλια
soft wheat - milling wheat departure from silo - after some storage - on truck or other transport means
κουνουπίδια
butter oil
πατάτες
maize - maize price at farm gate
maize - maize departure from farm or from production area - on truck or other transport means
nectarines - nectarines, jaune, cat. i, size a/b
cheddar - cheddar
maize - maize deliver to first customer - silo or processing plant - on truck or other transport means
μελιτζανες τσακωνικες
milling oats - avoine meunière
αχλάδια μπλακουιλλα ισπανίας
virgin olive oil - huile d'olive vierge, < 2.0%
eggplants - aubergines, cat. i, allongées cal. 40+ et globulaires cal. 70+
φασολάκια μπαρμπούνια
oats - feed oats deliver to first customer - silo or processing plant - on truck or other transport means
barley - feed barley departure from farm or from production area - on truck or other transport means
clementines - clementines,  cat. i - cal. 1x-2
lettuces - laitues, iceberg, cat. i, cal. 400+
πατάτες γαλλιας
χοιρινά εγχώρια τ. καρρέ μισάδια
μηλα γκαλα
ροδάκινα λευκοσαρκα
μπρόκολα
soft wheat - milling wheat free on board - incoterm
μηλα γκόλντεν εισαγωγης
σταφυλια σουπεριορ
μήλα γκραννυ σμιθ
μήλα γκόλντεν ντελίσιους
γιδοπρόβατα
pears - poires, conference, cat. i, size 60/65+
peaches - pêches, jaune, cat. i, size a/b
κουνουπίδια εισαγωγης
cheddar
soft wheat - feed wheat deliver to first customer - silo or processing plant - on truck or other transport means
πράσσα
oranges, oranges, navelinas - cat. i - cal. 2-4
πατάτες νέας εσοδείας
κατσίκια
αγγουράκια το κιλο
ραδίκια ημερα - ιταλικά
soft wheat - feed wheat departure from farm or from production area - on truck or other transport means
tomatoes – tomates cerises (= cherry tomatoes), cat. i
onions - oignons, jaunes, cat. i - cal. 40-80
πορτοκαλια ναβελ λεϊτ
αρνια ρουμανιας
αρνιά
seigle fourrager - feed rye
λεμόνια
lemons - citrons,  cat. i - cal. 1-3
φασολάκια τσαουλιά
leeks - poireaux, cat. i
feed oats - avoine fourragère
apples - pommes, red delicious and other red varieties, cat. i - cal. 70-80
apples - pommes, braeburn, cat. i - cal. 70-80
barley - feed barley shipped to the place (port), unloaded, on truck leaving port
χοιρίδια εγχώρια
κορομηλα
σταφύλια αττικη
emmental - emmental
μπανάνες
σταμναγκαθι
soft wheat - feed wheat cost, insurance and freight - incoterm
barley - feed barley delivered to port - grain delivered to a port silo by train or truck or barge
edam - edam
χοιρινά εξωτερικού μαδητά μισάδια
μελιτζάνες φλάσκες
apples - pommes, fuji, cat. i - cal. 70-80
πιπεριες κοκκινες μακριες
καρότα
durum wheat - durum wheat deliver to first customer - silo or processing plant - on truck or other transport means
soft wheat - milling wheat price at farm gate
rye - feed rye deliver to first customer - silo or processing plant - on truck or other transport means
πατζάρια
feed wheat - blé tendre fourrager
tomatoes - tomates, rondes (=round tomatoes), cat. i - cal. 57-82
κρεμμύδια ξερά εισαγωγης
lampante olive oil - huile d'olive lampante,  >2%
courgettes - courgettes, cat. i, cal. 14-21
soft wheat - milling wheat delivered to port - grain delivered to a port silo by train or truck or barge
πιπεριες χονδρες εισαγωγης
πατάτες  κυπρου
δαμασκηνα βανιλιες
φασολάκια χανδρες
σκόρδα το κομμάτι
μοσχάρια εγχώρια
κολοκύθια
συκα
μήλα στάρκιν ντελίσιους
πατάτες εγχ.
μανταρίνια κοινά
oats - feed oats departure from farm or from production area - on truck or other transport means
barley - feed barley departure from silo - after some storage - on truck or other transport means
barley - malting barley delivered to port - grain delivered to a port silo by train or truck or barge
beans - haricots, plats, cat. i
μαρούλια
βλήτα
ροδάκινα
τομάτες
rye of breadmaking quality - seigle panifiable
cherries -  cerises, douces - cat. i - cal. 22+
rye - milling rye deliver to first customer - silo or processing plant - on truck or other transport means
κρεμμυδάκια φρέσκα
κυδώνια
αρνιά  γάλακτος
barley - feed barley price at farm gate
σταφυλια καλμερια
σταφυλια σουλτανινα
apples - pommes, cox orange, cat. i - cal. 70-80
μήλα φουτζι
soft wheat - feed wheat shipped to the place (port), unloaded, on truck leaving port
τοματινια τ. βελανιδι
maize - maize delivered to port - grain delivered to a port silo by train or truck or barge
αρακας
watermelons - pasteques, with pip
πορτοκαλια ομφαλοφορα
kiwis - kiwis, hayward - cat. i - cal. 105-125
αχλάδια πακαμς
ακτινίδια
maize - maize cost, insurance and freight - incoterm
κρεμμύδια ξερά
barley - feed barley free on board - incoterm
avocados - avocats,  hass - cat. i - cal. 16-20
apples - pommes, shampion, cat. i - cal. 70-80
rye - milling rye departure from silo - after some storage - on truck or other transport means
λάχανα
λεμονια εγχ.
barley - malting barley departure from silo - after some storage - on truck or other transport means
garlic - ail, white, cat. i, cal. 50-80
μανταρίνια κλημεντινες
maize - maize free on board - incoterm
grapes - raisins, table, italia - cat. i
πατάτες εισαγ
soft wheat - feed wheat price at farm gate
soft wheat - feed wheat delivered to a port silo, by train or truck or barge - grain exchange quotation
μήλα γκόλντεν
αχλάδια σαντα μαρία
ρόδια
maize - maize delivered to a port silo, by train or truck or barge - grain exchange quotation
σκόρδα εισαγωγης
αρνια 12 - 14
αγγιναρες (το ζευγάρι)
soft wheat - milling wheat delivered to a port silo, by train or truck or barge - grain exchange quotation
μήλα τζοναγκολντ εισαγωγης
soft wheat - feed wheat free on board - incoterm
αντίδια
durum wheat - durum wheat departure from silo - after some storage - on truck or other transport means
μανταρινια σατσουμες
αχλαδια κόσσια
γκρειπ φρουτ
κεράσια τραγανα
πεπονια λουτρακιου
μοσχάρια εξωτερικού 4/μορια
φασόλια τσαουλιά
barley - feed barley cost, insurance and freight - incoterm
melons - melons - charentais-cantaloups - cat. i - cal. 800-1250
καρπουζια
αχλάδια κοντούλες
νεκταρίνια
σταφύλια φράουλες
πατάτες αιγύπτου
σταφυλια μοσχατα
satsumas - satsumas, cat. i - cal. 1x-2
βερυκοκκα μπεμπεκου
μήλα γκόλντεν ντελίσιους εισαγωγης
πρασσα εισαγωγης
πεπονια τ. θράκης
πατάτες  εγχ.
white sugar - sucre blanc
βύσσινα
σταμναγκαθια
πατάτες  αιγυπτου
πετροκέρασα
μούσμουλα
αρνιά fyrom
αρνιά >
durum wheat - durum wheat price at farm gate
μπροκολα εισαγωγης
φασόλια μπαρμπούνια
πατάτες εισαγωγης
βερυκοκκα διαμαντοπουλου
γαλοπούλες εγχώριες
μήλα σκάρλετ
barley - malting barley free on board - incoterm
μήλα ντελίσιους πιλαφά τριπολεως
μανταρίνια ενκορε
μανταρίνια νόβα
σκόρδα φρεσκα
ροδακινα λεμονατα βόλου
αρνια βουλγαρίας
κερασια μπιγκαρω μπουρλατ
αχλαδια πακαμς εισαγωγης
oats - feed oats departure from silo - after some storage - on truck or other transport means
αρνιά ισπανιας
σκόρδα φρεσκα το κομμάτι
σταφυλια φράουλα
σταφυλια ρεντ γκλοπ
νεκταρίνια λευκοσαρκα
αρνιά εγχωρια
